Precinct	Votes	votes|Sophia King	pct|Sophia King	votes|Ebony D. Lucas	pct|Ebony D. Lucas
04001	445	250	56.18	195	43.82
04002	378	294	77.78	84	22.22
04003	254	182	71.65	72	28.35
04004	451	292	64.75	159	35.25
04005	363	209	57.58	154	42.42
04006	408	291	71.32	117	28.68
04007	456	286	62.72	170	37.28
04008	379	242	63.85	137	36.15
04009	471	299	63.48	172	36.52
04010	424	267	62.97	157	37.03
04011	292	189	64.73	103	35.27
04012	349	205	58.74	144	41.26
04013	258	193	74.81	65	25.19
04014	335	205	61.19	130	38.81
04015	405	264	65.19	141	34.81
04016	435	309	71.03	126	28.97
04017	398	292	73.37	106	26.63
04018	366	232	63.39	134	36.61
04019	205	127	61.95	78	38.05
04020	337	225	66.77	112	33.23
04021	320	228	71.25	92	28.75
04022	381	276	72.44	105	27.56
04023	456	339	74.34	117	25.66
04024	312	244	78.21	68	21.79
04025	366	291	79.51	75	20.49
04026	310	225	72.58	85	27.42
04027	406	273	67.24	133	32.76
04028	292	175	59.93	117	40.07
04029	285	165	57.89	120	42.11
04030	390	227	58.21	163	41.79
04031	299	183	61.20	116	38.80
04032	365	217	59.45	148	40.55
04033	356	211	59.27	145	40.73
04034	311	190	61.09	121	38.91
04035	391	260	66.50	131	33.50
04036	387	243	62.79	144	37.21
04037	484	350	72.31	134	27.69
04038	366	228	62.30	138	37.70
