Precinct	Votes	votes|Jerry Joyce	pct|Jerry Joyce	votes|Paul Vallas	pct|Paul Vallas	votes|Willie L. Wilson	pct|Willie L. Wilson	votes|Toni Preckwinkle	pct|Toni Preckwinkle	votes|William M. Daley	pct|William M. Daley	votes|Garry Mccarthy	pct|Garry Mccarthy	votes|Gery Chico	pct|Gery Chico	votes|Susana A. Mendoza	pct|Susana A. Mendoza	votes|Amara Enyia	pct|Amara Enyia	votes|La Shawn K. Ford	pct|La Shawn K. Ford	votes|Neal Sales-Griffin	pct|Neal Sales-Griffin	votes|Lori Lightfoot	pct|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	pct|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar	pct|John Kenneth Kozlar
08021	329	8	2.43	3	0.91	95	28.88	82	24.92	34	10.33	2	0.61	7	2.13	1	0.30	37	11.25	7	2.13	2	0.61	49	14.89	1	0.30	1	0.30
08022	246	6	2.44	5	2.03	75	30.49	48	19.51	30	12.20	1	0.41	5	2.03	5	2.03	27	10.98	2	0.81	1	0.41	40	16.26	1	0.41	0	0
08023	194	6	3.09	4	2.06	43	22.16	63	32.47	25	12.89	0	0	4	2.06	5	2.58	19	9.79	0	0	1	0.52	24	12.37	0	0	0	0
08024	177	8	4.52	6	3.39	48	27.12	33	18.64	10	5.65	0	0	4	2.26	6	3.39	27	15.25	2	1.13	0	0	32	18.08	1	0.56	0	0
08025	226	3	1.33	3	1.33	87	38.50	59	26.11	14	6.19	1	0.44	5	2.21	7	3.10	14	6.19	10	4.42	2	0.88	21	9.29	0	0	0	0
08026	221	3	1.36	1	0.45	70	31.67	61	27.60	15	6.79	0	0	3	1.36	6	2.71	22	9.95	2	0.90	0	0	37	16.74	1	0.45	0	0
08027	310	6	1.94	5	1.61	77	24.84	77	24.84	44	14.19	3	0.97	7	2.26	3	0.97	30	9.68	3	0.97	1	0.32	53	17.10	1	0.32	0	0
08028	267	3	1.12	5	1.87	67	25.09	74	27.72	18	6.74	1	0.37	7	2.62	11	4.12	36	13.48	4	1.50	0	0	40	14.98	1	0.37	0	0
08029	312	2	0.64	9	2.88	88	28.21	72	23.08	16	5.13	0	0	14	4.49	6	1.92	31	9.94	4	1.28	1	0.32	66	21.15	1	0.32	2	0.64
08030	259	2	0.77	8	3.09	64	24.71	75	28.96	18	6.95	2	0.77	4	1.54	11	4.25	30	11.58	7	2.70	2	0.77	35	13.51	0	0	1	0.39
