Precinct	Votes	votes|Derek Lindblom	pct|Derek Lindblom	votes|Michele Smith	pct|Michele Smith	votes|Leslie Fox	pct|Leslie Fox	votes|Jacob Ringer	pct|Jacob Ringer	votes|Steven Mcclellan	pct|Steven Mcclellan	votes|Rebecca Janowitz	pct|Rebecca Janowitz
43001	203	47	23.15	83	40.89	22	10.84	25	12.32	17	8.37	9	4.43
43002	323	98	30.34	118	36.53	39	12.07	47	14.55	7	2.17	14	4.33
43003	352	120	34.09	122	34.66	38	10.80	55	15.63	6	1.70	11	3.13
43004	328	101	30.79	121	36.89	44	13.41	37	11.28	9	2.74	16	4.88
43005	309	89	28.80	134	43.37	30	9.71	48	15.53	5	1.62	3	0.97
43006	208	89	42.79	47	22.60	22	10.58	35	16.83	1	0.48	14	6.73
43007	251	61	24.30	93	37.05	42	16.73	36	14.34	6	2.39	13	5.18
43008	248	62	25.00	107	43.15	48	19.35	20	8.06	3	1.21	8	3.23
43009	389	89	22.88	148	38.05	41	10.54	89	22.88	8	2.06	14	3.60
43010	438	154	35.16	167	38.13	48	10.96	59	13.47	3	0.68	7	1.60
43011	280	90	32.14	105	37.50	30	10.71	37	13.21	4	1.43	14	5.00
43012	217	55	25.35	90	41.47	38	17.51	19	8.76	6	2.76	9	4.15
43013	291	59	20.27	114	39.18	57	19.59	38	13.06	6	2.06	17	5.84
43014	434	128	29.49	169	38.94	21	4.84	65	14.98	50	11.52	1	0.23
43015	310	83	26.77	120	38.71	48	15.48	34	10.97	9	2.90	16	5.16
43016	312	97	31.09	93	29.81	35	11.22	54	17.31	8	2.56	25	8.01
43017	274	81	29.56	113	41.24	39	14.23	28	10.22	4	1.46	9	3.28
43018	397	129	32.49	151	38.04	56	14.11	40	10.08	4	1.01	17	4.28
43019	375	105	28.00	121	32.27	40	10.67	74	19.73	13	3.47	22	5.87
43020	377	109	28.91	122	32.36	60	15.92	56	14.85	8	2.12	22	5.84
43021	322	128	39.75	83	25.78	48	14.91	48	14.91	7	2.17	8	2.48
43022	226	74	32.74	75	33.19	31	13.72	34	15.04	5	2.21	7	3.10
43023	215	55	25.58	80	37.21	30	13.95	39	18.14	3	1.40	8	3.72
43024	266	52	19.55	126	47.37	40	15.04	19	7.14	4	1.50	25	9.40
43025	307	74	24.10	136	44.30	41	13.36	37	12.05	8	2.61	11	3.58
43026	269	89	33.09	127	47.21	33	12.27	10	3.72	3	1.12	7	2.60
43027	369	133	36.04	116	31.44	39	10.57	65	17.62	5	1.36	11	2.98
43028	378	66	17.46	190	50.26	60	15.87	16	4.23	9	2.38	37	9.79
43029	329	106	32.22	111	33.74	49	14.89	44	13.37	6	1.82	13	3.95
43030	343	116	33.82	115	33.53	45	13.12	43	12.54	8	2.33	16	4.66
43031	352	92	26.14	147	41.76	50	14.20	38	10.80	7	1.99	18	5.11
43032	352	98	27.84	136	38.64	60	17.05	31	8.81	10	2.84	17	4.83
43033	361	70	19.39	200	55.40	40	11.08	20	5.54	2	0.55	29	8.03
43034	253	39	15.42	117	46.25	57	22.53	25	9.88	4	1.58	11	4.35
43035	385	74	19.22	203	52.73	48	12.47	16	4.16	5	1.30	39	10.13
43036	145	32	22.07	49	33.79	26	17.93	27	18.62	4	2.76	7	4.83
43037	298	90	30.20	77	25.84	55	18.46	47	15.77	9	3.02	20	6.71
43038	316	71	22.47	168	53.16	31	9.81	18	5.70	2	0.63	26	8.23
43039	257	71	27.63	104	40.47	39	15.18	20	7.78	10	3.89	13	5.06
43040	195	47	24.10	67	34.36	34	17.44	36	18.46	4	2.05	7	3.59
43041	436	145	33.26	151	34.63	65	14.91	58	13.30	4	0.92	13	2.98
43042	310	83	26.77	107	34.52	55	17.74	39	12.58	13	4.19	13	4.19
43043	348	76	21.84	156	44.83	29	8.33	27	7.76	6	1.72	54	15.52
43044	319	86	26.96	119	37.30	51	15.99	50	15.67	7	2.19	6	1.88
43045	238	46	19.33	119	50.00	20	8.40	49	20.59	1	0.42	3	1.26
43046	168	54	32.14	69	41.07	18	10.71	24	14.29	2	1.19	1	0.60
