Precinct	Votes	votes|Proco ''Joe'' Moreno	pct|Proco ''Joe'' Moreno	votes|Daniel La Spata	pct|Daniel La Spata
01001	321	135	42.06	186	57.94
01002	246	99	40.24	147	59.76
01003	298	107	35.91	191	64.09
01004	288	126	43.75	162	56.25
01005	275	104	37.82	171	62.18
01006	278	128	46.04	150	53.96
01007	230	73	31.74	157	68.26
01008	264	152	57.58	112	42.42
01009	274	124	45.26	150	54.74
01010	277	118	42.60	159	57.40
01011	309	104	33.66	205	66.34
01012	343	96	27.99	247	72.01
01013	155	57	36.77	98	63.23
01014	292	157	53.77	135	46.23
01015	248	94	37.90	154	62.10
01016	355	127	35.77	228	64.23
01017	276	72	26.09	204	73.91
01018	298	119	39.93	179	60.07
01019	326	103	31.60	223	68.40
01020	231	72	31.17	159	68.83
01021	305	113	37.05	192	62.95
01022	191	77	40.31	114	59.69
01023	406	109	26.85	297	73.15
01024	236	102	43.22	134	56.78
01025	259	80	30.89	179	69.11
01026	192	82	42.71	110	57.29
01027	294	118	40.14	176	59.86
01028	106	70	66.04	36	33.96
01029	388	148	38.14	240	61.86
01030	323	131	40.56	192	59.44
01031	303	162	53.47	141	46.53
01032	300	108	36.00	192	64.00
01033	340	128	37.65	212	62.35
01034	227	52	22.91	175	77.09
01035	376	136	36.17	240	63.83
01036	290	97	33.45	193	66.55
01037	284	117	41.20	167	58.80
01038	254	120	47.24	134	52.76
01039	242	107	44.21	135	55.79
01040	323	195	60.37	128	39.63
01041	211	56	26.54	155	73.46
01042	98	26	26.53	72	73.47
01043	177	70	39.55	107	60.45
01044	252	64	25.40	188	74.60
