Precinct	Register Voters	Ballots Cast	Turnout %
01001	979	262	26.76
01002	887	209	23.56
01003	946	280	29.60
01004	992	282	28.43
01005	925	257	27.78
01006	899	238	26.47
01007	616	200	32.47
01008	826	269	32.57
01009	699	254	36.34
01010	1116	261	23.39
01011	956	279	29.18
01012	1063	338	31.80
01013	430	125	29.07
01014	799	261	32.67
01015	824	228	27.67
01016	1006	302	30.02
01017	804	270	33.58
01018	930	270	29.03
01019	975	305	31.28
01020	702	198	28.21
01021	1146	294	25.65
01022	606	170	28.05
01023	1107	379	34.24
01024	978	216	22.09
01025	919	235	25.57
01026	765	175	22.88
01027	959	261	27.22
01028	344	95	27.62
01029	997	336	33.70
01030	1006	260	25.84
01031	903	263	29.13
01032	840	275	32.74
01033	1012	302	29.84
01034	694	220	31.70
01035	1108	342	30.87
01036	919	280	30.47
01037	895	273	30.50
01038	860	250	29.07
01039	817	216	26.44
01040	885	282	31.86
01041	520	184	35.38
01042	291	93	31.96
01043	589	183	31.07
01044	691	220	31.84
02001	1023	250	24.44
02002	624	253	40.54
02003	993	287	28.90
02004	809	210	25.96
02005	1023	296	28.93
02006	873	201	23.02
02007	1509	247	16.37
02008	1121	262	23.37
02009	786	225	28.63
02010	667	317	47.53
02011	870	357	41.03
02012	800	309	38.63
02013	690	320	46.38
02014	895	353	39.44
02015	902	281	31.15
02016	884	234	26.47
02017	992	383	38.61
02018	800	277	34.63
02019	601	292	48.59
02020	1065	232	21.78
02021	926	311	33.59
02022	863	347	40.21
02023	544	279	51.29
02024	783	289	36.91
02025	937	288	30.74
02026	847	248	29.28
02027	781	270	34.57
02028	898	269	29.96
02029	962	249	25.88
02030	716	233	32.54
02031	963	427	44.34
02032	701	181	25.82
02033	1120	494	44.11
02034	621	309	49.76
02035	1142	271	23.73
02036	913	290	31.76
02037	713	299	41.94
02038	742	299	40.30
02039	677	200	29.54
02040	1260	289	22.94
02041	1016	225	22.15
02042	917	248	27.04
02043	1169	350	29.94
02044	489	203	41.51
02045	1034	325	31.43
02046	518	152	29.34
03001	1274	411	32.26
03002	840	455	54.17
03003	881	319	36.21
03004	874	379	43.36
03005	696	172	24.71
03006	1025	388	37.85
03007	563	261	46.36
03008	851	237	27.85
03009	893	340	38.07
03010	561	128	22.82
03011	855	306	35.79
03012	732	375	51.23
03013	889	406	45.67
03014	929	323	34.77
03015	871	272	31.23
03016	833	269	32.29
03017	1196	343	28.68
03018	1427	414	29.01
03019	923	361	39.11
03020	906	320	35.32
03021	909	384	42.24
03022	1178	357	30.31
03023	862	237	27.49
03024	813	288	35.42
03025	1422	534	37.55
03026	847	450	53.13
03027	1117	383	34.29
03028	621	263	42.35
03029	1113	317	28.48
03030	777	291	37.45
03031	954	387	40.57
03032	992	347	34.98
03033	1026	335	32.65
03034	1079	369	34.20
03035	961	143	14.88
03036	639	151	23.63
03037	844	253	29.98
03038	627	325	51.83
03039	1402	436	31.10
03040	932	260	27.90
03041	824	314	38.11
04001	1140	437	38.33
04002	999	392	39.24
04003	781	267	34.19
04004	1128	480	42.55
04005	782	401	51.28
04006	945	437	46.24
04007	998	485	48.60
04008	890	407	45.73
04009	825	481	58.30
04010	958	423	44.15
04011	955	320	33.51
04012	1012	371	36.66
04013	1060	255	24.06
04014	860	368	42.79
04015	992	421	42.44
04016	1460	429	29.38
04017	1000	394	39.40
04018	863	402	46.58
04019	897	226	25.20
04020	741	317	42.78
04021	1058	329	31.10
04022	806	388	48.14
04023	981	484	49.34
04024	798	331	41.48
04025	892	388	43.50
04026	830	335	40.36
04027	1068	433	40.54
04028	724	316	43.65
04029	861	313	36.35
04030	1275	390	30.59
04031	706	452	64.02
04032	957	361	37.72
04033	879	356	40.50
04034	803	310	38.61
04035	1060	407	38.40
04036	969	403	41.59
04037	1535	469	30.55
04038	827	361	43.65
05001	818	263	32.15
05002	699	218	31.19
05003	842	358	42.52
05004	971	424	43.67
05005	781	308	39.44
05006	713	273	38.29
05007	758	356	46.97
05008	735	395	53.74
05009	834	441	52.88
05010	825	242	29.33
05011	753	410	54.45
05012	665	215	32.33
05013	810	264	32.59
05014	596	314	52.68
05015	707	307	43.42
05016	900	280	31.11
05017	844	285	33.77
05018	685	324	47.30
05019	699	365	52.22
05020	812	411	50.62
05021	739	351	47.50
05022	758	449	59.23
05023	1229	596	48.49
05024	844	391	46.33
05025	745	332	44.56
05026	867	346	39.91
05027	986	336	34.08
05028	871	388	44.55
05029	875	364	41.60
05030	708	221	31.21
05031	763	244	31.98
05032	809	448	55.38
05033	865	363	41.97
05034	801	412	51.44
05035	857	450	52.51
05036	651	212	32.57
05037	815	450	55.21
05038	845	297	35.15
05039	600	288	48.00
05040	644	272	42.24
05041	347	242	69.74
06001	680	327	48.09
06002	697	306	43.90
06003	702	332	47.29
06004	652	206	31.60
06005	711	163	22.93
06006	716	326	45.53
06007	735	242	32.93
06008	695	315	45.32
06009	826	232	28.09
06010	660	151	22.88
06011	722	240	33.24
06012	721	158	21.91
06013	567	232	40.92
06014	758	265	34.96
06015	897	201	22.41
06016	701	325	46.36
06017	709	173	24.40
06018	687	180	26.20
06019	722	255	35.32
06020	649	152	23.42
06021	628	131	20.86
06022	613	159	25.94
06023	588	140	23.81
06024	547	143	26.14
06025	516	136	26.36
06026	718	166	23.12
06027	639	158	24.73
06028	568	133	23.42
06029	667	335	50.22
06030	760	211	27.76
06031	675	310	45.93
06032	703	259	36.84
06033	688	289	42.01
06034	691	274	39.65
06035	622	252	40.51
06036	688	349	50.73
06037	652	331	50.77
06038	699	316	45.21
06039	704	227	32.24
06040	695	268	38.56
06041	686	285	41.55
06042	795	267	33.58
06043	720	233	32.36
06044	791	258	32.62
06045	732	304	41.53
06046	548	186	33.94
06047	600	182	30.33
06048	759	277	36.50
07001	721	223	30.93
07002	848	216	25.47
07003	672	287	42.71
07004	665	260	39.10
07005	666	249	37.39
07006	817	344	42.11
07007	788	207	26.27
07008	652	237	36.35
07009	1094	430	39.31
07010	720	295	40.97
07011	827	223	26.96
