Precinct	Votes	votes|Marianne Lalonde	pct|Marianne Lalonde	votes|Erika Wozniak Francis	pct|Erika Wozniak Francis	votes|Justin Kreindler	pct|Justin Kreindler	votes|James Cappleman	pct|James Cappleman	votes|Angela Clay	pct|Angela Clay	votes|Jon-Robert Mcdowell	pct|Jon-Robert Mcdowell
46001	307	59	19.22	53	17.26	15	4.89	125	40.72	51	16.61	4	1.30
46002	325	61	18.77	53	16.31	14	4.31	147	45.23	49	15.08	1	0.31
46003	434	126	29.03	57	13.13	35	8.06	173	39.86	40	9.22	3	0.69
46004	339	51	15.04	36	10.62	6	1.77	205	60.47	37	10.91	4	1.18
46005	363	53	14.60	95	26.17	19	5.23	134	36.91	50	13.77	12	3.31
46006	290	64	22.07	42	14.48	5	1.72	118	40.69	57	19.66	4	1.38
46007	443	69	15.58	62	14.00	7	1.58	253	57.11	45	10.16	7	1.58
46008	265	27	10.19	41	15.47	4	1.51	121	45.66	67	25.28	5	1.89
46009	389	62	15.94	55	14.14	8	2.06	200	51.41	54	13.88	10	2.57
46010	427	103	24.12	73	17.10	32	7.49	159	37.24	54	12.65	6	1.41
46011	331	62	18.73	62	18.73	13	3.93	131	39.58	56	16.92	7	2.11
46012	410	58	14.15	79	19.27	14	3.41	154	37.56	100	24.39	5	1.22
46013	318	45	14.15	61	19.18	8	2.52	160	50.31	35	11.01	9	2.83
46014	324	26	8.02	38	11.73	3	0.93	136	41.98	118	36.42	3	0.93
46015	301	44	14.62	42	13.95	4	1.33	175	58.14	31	10.30	5	1.66
46016	430	82	19.07	71	16.51	5	1.16	191	44.42	76	17.67	5	1.16
46017	436	82	18.81	68	15.60	15	3.44	224	51.38	39	8.94	8	1.83
46018	372	66	17.74	56	15.05	26	6.99	171	45.97	44	11.83	9	2.42
46019	270	41	15.19	38	14.07	18	6.67	148	54.81	20	7.41	5	1.85
46020	294	44	14.97	35	11.90	9	3.06	132	44.90	72	24.49	2	0.68
46021	199	58	29.15	29	14.57	9	4.52	80	40.20	22	11.06	1	0.50
46022	284	93	32.75	66	23.24	2	0.70	43	15.14	76	26.76	4	1.41
46023	290	27	9.31	82	28.28	3	1.03	106	36.55	72	24.83	0	0
46024	400	80	20.00	63	15.75	22	5.50	186	46.50	39	9.75	10	2.50
46025	355	35	9.86	46	12.96	6	1.69	149	41.97	117	32.96	2	0.56
46026	345	66	19.13	43	12.46	6	1.74	117	33.91	111	32.17	2	0.58
46027	428	58	13.55	102	23.83	14	3.27	173	40.42	73	17.06	8	1.87
46028	407	85	20.88	62	15.23	18	4.42	211	51.84	21	5.16	10	2.46
46029	302	35	11.59	48	15.89	8	2.65	175	57.95	29	9.60	7	2.32
46030	325	62	19.08	50	15.38	39	12.00	127	39.08	44	13.54	3	0.92
46031	296	74	25.00	75	25.34	17	5.74	99	33.45	27	9.12	4	1.35
46032	396	76	19.19	48	12.12	3	0.76	150	37.88	112	28.28	7	1.77
46033	380	65	17.11	69	18.16	27	7.11	193	50.79	23	6.05	3	0.79
46034	399	77	19.30	99	24.81	15	3.76	149	37.34	49	12.28	10	2.51
46035	362	51	14.09	57	15.75	11	3.04	193	53.31	45	12.43	5	1.38
46036	358	69	19.27	69	19.27	29	8.10	153	42.74	31	8.66	7	1.96
46037	278	40	14.39	46	16.55	9	3.24	123	44.24	57	20.50	3	1.08
46038	270	51	18.89	44	16.30	13	4.81	121	44.81	35	12.96	6	2.22
46039	325	97	29.85	47	14.46	34	10.46	115	35.38	22	6.77	10	3.08
46040	334	70	20.96	62	18.56	0	0	162	48.50	27	8.08	13	3.89
