Precinct	Register Voters	Ballots Cast	Turnout %
34048	680	284	41.76
34049	600	239	39.83
34050	678	175	25.81
34051	689	279	40.49
34052	496	211	42.54
34053	594	129	21.72
35001	868	305	35.14
35002	814	388	47.67
35003	854	218	25.53
35004	785	284	36.18
35005	764	248	32.46
35006	842	252	29.93
35007	816	263	32.23
35008	870	285	32.76
35009	824	288	34.95
35010	925	378	40.86
35011	964	327	33.92
35012	766	153	19.97
35013	803	137	17.06
35014	766	188	24.54
35015	999	334	33.43
35016	716	163	22.77
35017	899	326	36.26
35018	747	181	24.23
35019	735	122	16.60
35020	860	221	25.70
35021	838	267	31.86
35022	1049	319	30.41
35023	830	299	36.02
35024	805	280	34.78
35025	828	292	35.27
35026	764	255	33.38
35027	752	217	28.86
35028	806	292	36.23
35029	933	235	25.19
35030	880	244	27.73
35031	818	311	38.02
36001	833	206	24.73
36002	851	175	20.56
36003	664	183	27.56
36004	929	154	16.58
36005	807	170	21.07
36006	769	162	21.07
36007	817	302	36.96
36008	717	141	19.67
36009	860	133	15.47
36010	964	250	25.93
36011	637	137	21.51
36012	697	109	15.64
36013	634	124	19.56
36014	788	252	31.98
36015	807	235	29.12
36016	792	264	33.33
36017	859	294	34.23
36018	848	248	29.25
36019	968	203	20.97
36020	859	236	27.47
36021	849	131	15.43
36022	787	128	16.26
36023	858	143	16.67
36024	927	211	22.76
36025	895	155	17.32
36026	813	221	27.18
36027	786	217	27.61
36028	812	199	24.51
36029	880	269	30.57
36030	821	212	25.82
37001	758	139	18.34
37002	726	134	18.46
37003	701	127	18.12
37004	707	155	21.92
37005	778	263	33.80
37006	792	214	27.02
37007	686	141	20.55
37008	654	109	16.67
37009	822	197	23.97
37010	942	217	23.04
37011	645	136	21.09
37012	743	146	19.65
37013	684	132	19.30
37014	847	194	22.90
37015	825	241	29.21
37016	822	236	28.71
37017	697	179	25.68
37018	745	190	25.50
37019	790	123	15.57
37020	728	154	21.15
37021	783	187	23.88
37022	815	180	22.09
37023	727	201	27.65
37024	798	224	28.07
37025	728	173	23.76
37026	845	272	32.19
37027	785	222	28.28
37028	704	174	24.72
37029	771	202	26.20
37030	840	194	23.10
37031	834	220	26.38
37032	696	193	27.73
37033	821	248	30.21
37034	779	182	23.36
37035	762	240	31.50
37036	790	190	24.05
37037	1029	263	25.56
37038	803	245	30.51
37039	751	182	24.23
37040	758	237	31.27
37041	749	183	24.43
38001	753	222	29.48
38002	750	388	51.73
38003	914	241	26.37
38004	791	256	32.36
38005	816	231	28.31
38006	894	241	26.96
38007	807	251	31.10
38008	809	223	27.56
38009	872	304	34.86
38010	754	207	27.45
38011	693	234	33.77
38012	829	308	37.15
38013	873	297	34.02
38014	846	296	34.99
38015	772	236	30.57
38016	799	289	36.17
38017	946	320	33.83
38018	818	299	36.55
38019	908	335	36.89
38020	833	293	35.17
38021	777	219	28.19
38022	758	265	34.96
38023	782	280	35.81
38024	820	299	36.46
38025	762	227	29.79
38026	858	278	32.40
38027	872	250	28.67
38028	934	338	36.19
38029	821	242	29.48
38030	896	242	27.01
38031	735	301	40.95
38032	827	223	26.96
38033	847	242	28.57
38034	817	287	35.13
38035	804	272	33.83
38036	733	220	30.01
38037	789	273	34.60
38038	785	243	30.96
38039	837	310	37.04
38040	769	274	35.63
38041	642	276	42.99
39001	672	349	51.93
39002	752	364	48.40
39003	792	338	42.68
39004	668	321	48.05
39005	771	322	41.76
39006	860	288	33.49
39007	692	285	41.18
39008	894	323	36.13
39009	834	287	34.41
39010	360	159	44.17
39011	732	297	40.57
39012	1113	331	29.74
39013	799	241	30.16
39014	795	303	38.11
39015	858	359	41.84
39016	839	181	21.57
39017	748	360	48.13
39018	782	310	39.64
39019	790	330	41.77
39020	933	418	44.80
39021	737	313	42.47
39022	798	207	25.94
39023	717	377	52.58
39024	874	463	52.97
39025	774	196	25.32
39026	770	323	41.95
39027	112	69	61.61
39028	895	426	47.60
39029	513	150	29.24
39030	912	329	36.07
39031	807	258	31.97
39032	791	264	33.38
39033	953	342	35.89
39034	934	292	31.26
39035	802	316	39.40
39036	293	90	30.72
39037	626	356	56.87
39038	369	201	54.47
39039	461	210	45.55
39040	738	309	41.87
39041	761	383	50.33
39042	705	403	57.16
39043	748	358	47.86
39044	545	300	55.05
39045	652	363	55.67
40001	858	294	34.27
40002	833	269	32.29
40003	949	410	43.20
40004	551	206	37.39
40005	824	375	45.51
40006	859	410	47.73
40007	727	388	53.37
40008	926	461	49.78
40009	774	259	33.46
40010	978	266	27.20
40011	776	410	52.84
40012	640	279	43.59
40013	1065	525	49.30
40014	837	231	27.60
40015	875	285	32.57
40016	905	494	54.59
40017	722	338	46.81
40018	836	202	24.16
40019	1032	375	36.34
40020	915	283	30.93
40021	861	451	52.38
40022	845	355	42.01
40023	889	482	54.22
40024	878	256	29.16
40025	833	419	50.30
40026	740	393	53.11
40027	1106	428	38.70
40028	855	387	45.26
40029	802	368	45.89
40030	691	362	52.39
40031	808	404	50.00
40032	813	406	49.94
40033	686	398	58.02
40034	790	281	35.57
40035	789	221	28.01
40036	684	345	50.44
40037	886	295	33.30
40038	876	453	51.71
40039	398	78	19.60
41001	731	365	49.93
41002	736	402	54.62
41003	778	385	49.49
41004	702	426	60.68
41005	923	391	42.36
41006	791	476	60.18
41007	779	442	56.74
41008	715	394	55.10
41009	758	355	46.83
41010	729	478	65.57
41011	863	447	51.80
41012	887	371	41.83
41013	901	458	50.83
41014	751	444	59.12
41015	931	480	51.56
41016	756	360	47.62
41017	735	403	54.83
41018	700	368	52.57
41019	795	423	53.21
41020	624	282	45.19
41021	786	395	50.25
41022	801	448	55.93
41023	879	361	41.07
41024	783	364	46.49
41025	978	164	16.77
41026	692	366	52.89
41027	860	222	25.81
41028	988	218	22.06
41029	850	161	18.94
41030	782	347	44.37
41031	781	475	60.82
41032	656	299	45.58
41033	753	360	47.81
41034	709	383	54.02
41035	880	482	54.77
41036	734	382	52.04
41037	857	425	49.59
41038	770	353	45.84
41039	786	410	52.16
41040	814	475	58.35
41041	799	427	53.44
41042	749	365	48.73
41043	818	412	50.37
41044	766	438	57.18
41045	773	343	44.37
41046	758	394	51.98
41047	814	395	48.53
42001	759	344	45.32
42002	1020	271	26.57
42003	944	280	29.66
42004	1929	448	23.22
42005	818	256	31.30
42006	790	421	53.29
42007	1038	376	36.22
42008	794	343	43.20
42009	1302	279	21.43
42010	1340	349	26.04
42011	625	287	45.92
42012	720	295	40.97
42013	672	394	58.63
42014	1230	288	23.41
42015	1116	275	24.64
42016	931	305	32.76
42017	1307	390	29.84
42018	1117	197	17.64
42019	1202	446	37.10
42020	1098	299	27.23
42021	1013	261	25.77
42022	513	143	27.88
42023	1049	349	33.27
42024	916	341	37.23
42025	1010	294	29.11
42026	1373	404	29.42
42027	613	263	42.90
42028	922	427	46.31
42029	951	318	33.44
42030	664	352	53.01
42031	1099	365	33.21
42032	1153	318	27.58
42033	1087	332	30.54
42034	805	332	41.24
42035	1146	377	32.90
42036	1682	379	22.53
42037	732	219	29.92
42038	867	288	33.22
42039	1416	326	23.02
42040	1235	368	29.80
42041	970	287	29.59
42042	1609	443	27.53
43001	453	207	45.70
43002	808	332	41.09
43003	834	354	42.45
43004	1085	340	31.34
43005	730	313	42.88
43006	666	211	31.68
43007	584	258	44.18
43008	628	255	40.61
43009	890	400	44.94
43010	1001	449	44.86
43011	855	285	33.33
43012	572	229	40.03
43013	768	306	39.84
43014	802	440	54.86
43015	865	334	38.61
43016	1096	327	29.84
43017	663	281	42.38
43018	1015	407	40.10
43019	904	390	43.14
43020	961	383	39.85
43021	962	330	34.30
43022	587	235	40.03
43023	593	223	37.61
43024	743	276	37.15
43025	627	318	50.72
43026	531	275	51.79
43027	807	380	47.09
43028	1138	403	35.41
43029	822	332	40.39
43030	923	354	38.35
43031	902	374	41.46
43032	824	361	43.81
43033	818	374	45.72
43034	558	269	48.21
43035	926	402	43.41
43036	506	149	29.45
43037	988	307	31.07
43038	710	334	47.04
43039	861	276	32.06
43040	643	203	31.57
43041	1063	444	41.77
43042	814	319	39.19
43043	769	360	46.81
43044	809	323	39.93
43045	486	240	49.38
43046	498	168	33.73
44001	1273	542	42.58
44002	908	397	43.72
44003	491	325	66.19
44004	796	378	47.49
44005	999	364	36.44
44006	1047	442	42.22
44007	600	334	55.67
44008	1248	448	35.90
44009	864	360	41.67
44010	967	316	32.68
44011	977	381	39.00
44012	863	407	47.16
44013	801	276	34.46
44014	849	298	35.10
44015	820	336	40.98
44016	978	399	40.80
44017	1109	495	44.63
44018	1038	319	30.73
44019	1003	429	42.77
44020	964	296	30.71
44021	1037	394	37.99
44022	903	429	47.51
44023	887	315	35.51
44024	610	318	52.13
44025	873	357	40.89
44026	983	428	43.54
44027	1011	411	40.65
44028	861	323	37.51
44029	975	344	35.28
44030	984	443	45.02
44031	813	282	34.69
44032	1020	422	41.37
44033	875	340	38.86
44034	927	416	44.88
44035	1045	507	48.52
44036	925	343	37.08
44037	908	404	44.49
44038	953	307	32.21
44039	917	355	38.71
44040	835	338	40.48
44041	1196	404	33.78
45001	574	253	44.08
45002	712	265	37.22
45003	629	307	48.81
45004	833	412	49.46
45005	740	347	46.89
45006	935	486	51.98
45007	1063	467	43.93
45008	874	311	35.58
45009	828	300	36.23
45010	813	343	42.19
45011	630	219	34.76
45012	773	284	36.74
45013	629	315	50.08
45014	1075	393	36.56
45015	856	441	51.52
45016	679	315	46.39
45017	914	378	41.36
45018	893	311	34.83
45019	472	158	33.47
45020	629	221	35.14
45021	758	327	43.14
45022	808	273	33.79
45023	784	319	40.69
45024	664	289	43.52
45025	482	243	50.41
45026	448	196	43.75
45027	741	334	45.07
45028	674	282	41.84
45029	607	232	38.22
45030	743	286	38.49
45031	644	257	39.91
45032	716	275	38.41
45033	553	239	43.22
45034	816	363	44.49
45035	778	402	51.67
45036	761	377	49.54
45037	792	323	40.78
45038	792	301	38.01
45039	842	333	39.55
45040	753	334	44.36
45041	756	313	41.40
45042	701	363	51.78
45043	790	366	46.33
45044	745	417	55.97
45045	548	243	44.34
45046	627	242	38.60
45047	574	246	42.86
45048	654	312	47.71
46001	773	317	41.01
46002	766	334	43.60
46003	920	449	48.80
46004	777	340	43.76
46005	1087	372	34.22
46006	831	302	36.34
46007	817	454	55.57
46008	745	275	36.91
46009	879	399	45.39
46010	1336	443	33.16
46011	921	341	37.02
46012	858	416	48.48
46013	788	323	40.99
46014	1054	328	31.12
46015	804	306	38.06
46016	901	441	48.95
46017	954	457	47.90
46018	984	397	40.35
46019	543	279	51.38
46020	809	302	37.33
46021	758	203	26.78
46022	798	289	36.22
46023	743	297	39.97
46024	903	413	45.74
46025	819	362	44.20
46026	927	350	37.76
46027	1036	442	42.66
46028	734	417	56.81
46029	711	311	43.74
46030	878	340	38.72
46031	822	308	37.47
46032	970	405	41.75
46033	865	392	45.32
46034	1071	411	38.38
46035	987	371	37.59
46036	718	366	50.97
46037	884	289	32.69
46038	969	285	29.41
46039	809	342	42.27
46040	707	349	49.36
47001	519	229	44.12
47002	815	461	56.56
47003	781	469	60.05
47004	877	450	51.31
47005	869	420	48.33
47006	997	428	42.93
47007	791	333	42.10
47008	789	439	55.64
47009	817	366	44.80
47010	988	494	50.00
47011	847	359	42.38
47012	837	498	59.50
47013	798	406	50.88
47014	714	404	56.58
47015	976	468	47.95
47016	808	413	51.11
47017	827	400	48.37
47018	798	383	47.99
47019	1020	453	44.41
47020	754	375	49.73
47021	796	386	48.49
47022	816	455	55.76
47023	864	460	53.24
47024	840	391	46.55
47025	1037	442	42.62
47026	1039	483	46.49
47027	737	373	50.61
47028	761	407	53.48
47029	879	396	45.05
47030	972	501	51.54
47031	802	388	48.38
47032	960	472	49.17
47033	809	340	42.03
47034	808	425	52.60
47035	839	440	52.44
47036	913	430	47.10
47037	767	448	58.41
47038	789	423	53.61
47039	846	417	49.29
47040	768	444	57.81
47041	888	454	51.13
47042	808	413	51.11
47043	757	386	50.99
47044	920	353	38.37
47045	734	403	54.90
47046	801	404	50.44
47047	934	438	46.90
47048	87	58	66.67
48001	746	331	44.37
48002	357	215	60.22
48003	984	364	36.99
48004	767	385	50.20
48005	418	275	65.79
48006	1039	377	36.28
48007	750	340	45.33
48008	450	213	47.33
48009	538	244	45.35
48010	965	535	55.44
48011	631	361	57.21
48012	941	445	47.29
48013	949	466	49.10
48014	423	218	51.54
48015	607	195	32.13
48016	919	331	36.02
48017	727	352	48.42
48018	677	279	41.21
48019	517	291	56.29
48020	856	423	49.42
48021	1122	444	39.57
48022	609	371	60.92
48023	865	393	45.43
48024	1023	365	35.68
48025	625	375	60.00
48026	402	147	36.57
48027	1377	318	23.09
48028	967	398	41.16
48029	433	265	61.20
48030	640	370	57.81
48031	1152	370	32.12
48032	855	321	37.54
48033	408	246	60.29
48034	650	313	48.15
48035	777	269	34.62
48036	412	251	60.92
48037	846	344	40.66
48038	748	442	59.09
48039	616	317	51.46
48040	621	322	51.85
48041	1000	368	36.80
48042	928	441	47.52
48043	847	362	42.74
48044	920	456	49.57
48045	551	288	52.27
48046	530	254	47.92
49001	741	211	28.48
49002	545	247	45.32
49003	965	434	44.97
49004	1065	461	43.29
49005	959	437	45.57
49006	747	342	45.78
49007	760	330	43.42
49008	746	299	40.08
49009	877	390	44.47
49010	859	400	46.57
49011	991	447	45.11
49012	1023	477	46.63
49013	933	414	44.37
49014	748	348	46.52
49015	705	237	33.62
49016	863	374	43.34
49017	682	262	38.42
49018	1015	504	49.66
49019	877	286	32.61
49020	1115	573	51.39
49021	607	205	33.77
49022	965	394	40.83
49023	1064	474	44.55
49024	815	272	33.37
49025	1049	491	46.81
49026	959	433	45.15
49027	990	386	38.99
49028	1099	521	47.41
49029	992	462	46.57
49030	995	437	43.92
49031	708	309	43.64
49032	917	354	38.60
49033	784	320	40.82
50001	726	299	41.18
50002	484	176	36.36
50003	652	282	43.25
50004	841	289	34.36
50005	589	228	38.71
50006	847	329	38.84
50007	744	363	48.79
50008	771	230	29.83
50009	713	241	33.80
50010	952	237	24.89
50011	586	212	36.18
50012	303	131	43.23
50013	1027	237	23.08
50014	248	116	46.77
50015	714	368	51.54
50016	244	103	42.21
50017	933	215	23.04
50018	165	104	63.03
50019	644	148	22.98
50020	794	281	35.39
50021	672	237	35.27
50022	822	220	26.76
50023	655	174	26.56
50024	738	244	33.06
50025	798	273	34.21
50026	964	224	23.24
50027	215	103	47.91
50028	958	294	30.69
50029	862	171	19.84
50030	647	158	24.42
50031	1030	255	24.76
50032	962	222	23.08
50033	589	268	45.50
50034	929	397	42.73
50035	873	343	39.29
50036	747	290	38.82
50037	730	271	37.12
50038	288	154	53.47
50039	649	157	24.19
50040	859	333	38.77
