Precinct	Votes	votes|Michele Smith	pct|Michele Smith	votes|Derek Lindblom	pct|Derek Lindblom
43001	218	138	63.30	80	36.70
43002	349	176	50.43	173	49.57
43003	348	177	50.86	171	49.14
43004	302	139	46.03	163	53.97
43005	317	178	56.15	139	43.85
43006	210	89	42.38	121	57.62
43007	248	134	54.03	114	45.97
43008	244	138	56.56	106	43.44
43009	375	201	53.60	174	46.40
43010	439	224	51.03	215	48.97
43011	264	132	50.00	132	50.00
43012	216	127	58.80	89	41.20
43013	311	204	65.59	107	34.41
43014	449	232	51.67	217	48.33
43015	321	198	61.68	123	38.32
43016	297	128	43.10	169	56.90
43017	262	150	57.25	112	42.75
43018	391	192	49.10	199	50.90
43019	372	184	49.46	188	50.54
43020	381	186	48.82	195	51.18
43021	309	120	38.83	189	61.17
43022	203	104	51.23	99	48.77
43023	195	101	51.79	94	48.21
43024	266	156	58.65	110	41.35
43025	309	181	58.58	128	41.42
43026	295	163	55.25	132	44.75
43027	359	157	43.73	202	56.27
43028	380	258	67.89	122	32.11
43029	332	154	46.39	178	53.61
43030	335	149	44.48	186	55.52
43031	349	201	57.59	148	42.41
43032	323	165	51.08	158	48.92
43033	374	227	60.70	147	39.30
43034	259	169	65.25	90	34.75
43035	374	239	63.90	135	36.10
43036	128	72	56.25	56	43.75
43037	269	131	48.70	138	51.30
43038	316	185	58.54	131	41.46
43039	236	140	59.32	96	40.68
43040	195	107	54.87	88	45.13
43041	416	189	45.43	227	54.57
43042	281	140	49.82	141	50.18
43043	345	200	57.97	145	42.03
43044	306	151	49.35	155	50.65
43045	248	170	68.55	78	31.45
43046	163	79	48.47	84	51.53
