Precinct	Votes	votes|Samantha ''Sam'' Nugent	pct|Samantha ''Sam'' Nugent	votes|Robert Murphy	pct|Robert Murphy
39001	339	200	59.00	139	41.00
39002	372	216	58.06	156	41.94
39003	334	153	45.81	181	54.19
39004	342	219	64.04	123	35.96
39005	300	147	49.00	153	51.00
39006	271	127	46.86	144	53.14
39007	288	147	51.04	141	48.96
39008	349	214	61.32	135	38.68
39009	287	143	49.83	144	50.17
39010	168	87	51.79	81	48.21
39011	294	136	46.26	158	53.74
39012	328	139	42.38	189	57.62
39013	220	110	50.00	110	50.00
39014	306	158	51.63	148	48.37
39015	358	265	74.02	93	25.98
39016	173	83	47.98	90	52.02
39017	362	178	49.17	184	50.83
39018	304	136	44.74	168	55.26
39019	326	167	51.23	159	48.77
39020	413	280	67.80	133	32.20
39021	291	216	74.23	75	25.77
39022	202	72	35.64	130	64.36
39023	363	252	69.42	111	30.58
39024	459	324	70.59	135	29.41
39025	173	85	49.13	88	50.87
39026	322	208	64.60	114	35.40
39027	62	36	58.06	26	41.94
39028	423	160	37.83	263	62.17
39029	124	55	44.35	69	55.65
39030	339	105	30.97	234	69.03
39031	251	143	56.97	108	43.03
39032	253	164	64.82	89	35.18
39033	358	184	51.40	174	48.60
39034	275	132	48.00	143	52.00
39035	308	93	30.19	215	69.81
39036	84	60	71.43	24	28.57
39037	353	240	67.99	113	32.01
39038	209	109	52.15	100	47.85
39039	227	138	60.79	89	39.21
39040	327	223	68.20	104	31.80
39041	395	162	41.01	233	58.99
39042	407	306	75.18	101	24.82
39043	355	217	61.13	138	38.87
39044	304	213	70.07	91	29.93
39045	347	267	76.95	80	23.05
