Precinct	Votes	votes|Eileen Dordek	pct|Eileen Dordek	votes|Angela ''Angie'' Maloney	pct|Angela ''Angie'' Maloney	votes|Heather Way Kitzes	pct|Heather Way Kitzes	votes|Michael A. Negron	pct|Michael A. Negron	votes|Matt Martin	pct|Matt Martin	votes|Gus Katsafaros	pct|Gus Katsafaros	votes|Thomas M. Schwartzers	pct|Thomas M. Schwartzers	votes|Kimball Ladien	pct|Kimball Ladien	votes|Jeff Jenkins	pct|Jeff Jenkins
47001	220	47	21.36	10	4.55	18	8.18	50	22.73	72	32.73	3	1.36	9	4.09	3	1.36	8	3.64
47002	455	63	13.85	7	1.54	36	7.91	110	24.18	180	39.56	10	2.20	13	2.86	1	0.22	35	7.69
47003	456	61	13.38	21	4.61	15	3.29	129	28.29	119	26.10	9	1.97	19	4.17	0	0	83	18.20
47004	442	62	14.03	7	1.58	23	5.20	151	34.16	142	32.13	10	2.26	15	3.39	0	0	32	7.24
47005	412	74	17.96	20	4.85	19	4.61	88	21.36	193	46.84	5	1.21	4	0.97	0	0	9	2.18
47006	419	87	20.76	21	5.01	39	9.31	110	26.25	122	29.12	7	1.67	13	3.10	5	1.19	15	3.58
47007	329	63	19.15	14	4.26	13	3.95	91	27.66	117	35.56	1	0.30	8	2.43	1	0.30	21	6.38
47008	432	48	11.11	9	2.08	23	5.32	115	26.62	101	23.38	5	1.16	7	1.62	4	0.93	120	27.78
47009	360	76	21.11	15	4.17	23	6.39	63	17.50	132	36.67	4	1.11	8	2.22	12	3.33	27	7.50
47010	478	95	19.87	32	6.69	14	2.93	85	17.78	205	42.89	24	5.02	1	0.21	1	0.21	21	4.39
47011	347	63	18.16	17	4.90	23	6.63	82	23.63	109	31.41	11	3.17	12	3.46	12	3.46	18	5.19
47012	493	67	13.59	19	3.85	14	2.84	120	24.34	176	35.70	8	1.62	6	1.22	2	0.41	81	16.43
47013	400	69	17.25	18	4.50	13	3.25	68	17.00	177	44.25	13	3.25	5	1.25	1	0.25	36	9.00
47014	399	58	14.54	14	3.51	7	1.75	107	26.82	75	18.80	4	1.00	2	0.50	0	0	132	33.08
47015	456	73	16.01	20	4.39	13	2.85	57	12.50	273	59.87	3	0.66	7	1.54	1	0.22	9	1.97
47016	408	40	9.80	11	2.70	13	3.19	77	18.87	165	40.44	9	2.21	10	2.45	1	0.25	82	20.10
47017	394	72	18.27	10	2.54	14	3.55	88	22.34	105	26.65	5	1.27	8	2.03	0	0	92	23.35
47018	374	78	20.86	10	2.67	25	6.68	95	25.40	130	34.76	7	1.87	12	3.21	1	0.27	16	4.28
47019	441	62	14.06	27	6.12	14	3.17	88	19.95	233	52.83	3	0.68	5	1.13	2	0.45	7	1.59
47020	368	72	19.57	19	5.16	10	2.72	57	15.49	160	43.48	11	2.99	13	3.53	1	0.27	25	6.79
47021	384	62	16.15	16	4.17	3	0.78	100	26.04	145	37.76	13	3.39	7	1.82	2	0.52	36	9.38
47022	450	112	24.89	24	5.33	19	4.22	61	13.56	201	44.67	6	1.33	2	0.44	0	0	25	5.56
47023	445	87	19.55	31	6.97	16	3.60	71	15.96	225	50.56	1	0.22	3	0.67	4	0.90	7	1.57
47024	383	67	17.49	8	2.09	21	5.48	87	22.72	141	36.81	7	1.83	29	7.57	1	0.26	22	5.74
47025	436	72	16.51	19	4.36	25	5.73	106	24.31	170	38.99	4	0.92	4	0.92	2	0.46	34	7.80
47026	471	77	16.35	24	5.10	12	2.55	82	17.41	253	53.72	3	0.64	2	0.42	0	0	18	3.82
47027	365	62	16.99	13	3.56	20	5.48	100	27.40	134	36.71	6	1.64	4	1.10	1	0.27	25	6.85
47028	401	57	14.21	21	5.24	10	2.49	65	16.21	168	41.90	11	2.74	4	1.00	0	0	65	16.21
47029	389	67	17.22	22	5.66	29	7.46	114	29.31	116	29.82	4	1.03	6	1.54	0	0	31	7.97
47030	488	61	12.50	41	8.40	28	5.74	80	16.39	239	48.98	5	1.02	10	2.05	3	0.61	21	4.30
47031	382	67	17.54	26	6.81	23	6.02	77	20.16	165	43.19	8	2.09	5	1.31	0	0	11	2.88
47032	465	92	19.78	20	4.30	41	8.82	96	20.65	204	43.87	4	0.86	0	0	0	0	8	1.72
47033	335	49	14.63	17	5.07	41	12.24	59	17.61	138	41.19	2	0.60	8	2.39	1	0.30	20	5.97
47034	420	65	15.48	20	4.76	22	5.24	72	17.14	206	49.05	5	1.19	3	0.71	1	0.24	26	6.19
47035	435	63	14.48	20	4.60	20	4.60	117	26.90	110	25.29	11	2.53	10	2.30	1	0.23	83	19.08
47036	425	63	14.82	35	8.24	14	3.29	69	16.24	198	46.59	11	2.59	3	0.71	1	0.24	31	7.29
47037	443	78	17.61	18	4.06	13	2.93	106	23.93	167	37.70	10	2.26	10	2.26	0	0	41	9.26
47038	422	79	18.72	16	3.79	20	4.74	58	13.74	216	51.18	9	2.13	4	0.95	1	0.24	19	4.50
47039	407	72	17.69	14	3.44	22	5.41	97	23.83	170	41.77	11	2.70	3	0.74	0	0	18	4.42
47040	439	68	15.49	22	5.01	6	1.37	91	20.73	218	49.66	2	0.46	10	2.28	1	0.23	21	4.78
47041	441	97	22.00	19	4.31	22	4.99	93	21.09	181	41.04	7	1.59	6	1.36	0	0	16	3.63
47042	407	74	18.18	37	9.09	7	1.72	52	12.78	198	48.65	8	1.97	5	1.23	1	0.25	25	6.14
47043	379	57	15.04	15	3.96	47	12.40	90	23.75	136	35.88	11	2.90	9	2.37	0	0	14	3.69
47044	333	64	19.22	26	7.81	21	6.31	94	28.23	92	27.63	11	3.30	8	2.40	4	1.20	13	3.90
47045	399	133	33.33	18	4.51	7	1.75	69	17.29	138	34.59	7	1.75	4	1.00	0	0	23	5.76
47046	393	78	19.85	14	3.56	27	6.87	104	26.46	90	22.90	8	2.04	18	4.58	1	0.25	53	13.49
47047	429	92	21.45	8	1.86	24	5.59	78	18.18	177	41.26	6	1.40	17	3.96	2	0.47	25	5.83
47048	48	28	58.33	3	6.25	2	4.17	7	14.58	4	8.33	1	2.08	1	2.08	0	0	2	4.17
