Precinct	Votes	votes|Matthew J. O'Shea	pct|Matthew J. O'Shea	votes|David A. Dewar	pct|David A. Dewar
19001	396	366	92.42	30	7.58
19002	474	423	89.24	51	10.76
19003	310	270	87.10	40	12.90
19004	441	348	78.91	93	21.09
19005	394	338	85.79	56	14.21
19006	399	335	83.96	64	16.04
19007	340	304	89.41	36	10.59
19008	424	348	82.08	76	17.92
19009	300	262	87.33	38	12.67
19010	411	354	86.13	57	13.87
19011	373	295	79.09	78	20.91
19012	331	275	83.08	56	16.92
19013	369	313	84.82	56	15.18
19014	376	334	88.83	42	11.17
19015	475	363	76.42	112	23.58
19016	410	341	83.17	69	16.83
19017	362	316	87.29	46	12.71
19018	343	314	91.55	29	8.45
19019	455	401	88.13	54	11.87
19020	309	266	86.08	43	13.92
19021	364	296	81.32	68	18.68
19022	404	342	84.65	62	15.35
19023	402	352	87.56	50	12.44
19024	307	264	85.99	43	14.01
19025	370	312	84.32	58	15.68
19026	383	343	89.56	40	10.44
19027	317	271	85.49	46	14.51
19028	338	295	87.28	43	12.72
19029	364	286	78.57	78	21.43
19030	335	273	81.49	62	18.51
19031	347	300	86.46	47	13.54
19032	354	312	88.14	42	11.86
19033	385	323	83.90	62	16.10
19034	354	311	87.85	43	12.15
19035	355	322	90.70	33	9.30
19036	385	330	85.71	55	14.29
19037	346	304	87.86	42	12.14
19038	288	255	88.54	33	11.46
19039	83	61	73.49	22	26.51
19040	343	288	83.97	55	16.03
19041	349	283	81.09	66	18.91
19042	275	218	79.27	57	20.73
19043	390	331	84.87	59	15.13
19044	312	257	82.37	55	17.63
19045	405	367	90.62	38	9.38
19046	427	387	90.63	40	9.37
19047	498	406	81.53	92	18.47
19048	302	256	84.77	46	15.23
19049	394	335	85.03	59	14.97
19050	309	270	87.38	39	12.62
19051	449	398	88.64	51	11.36
19052	410	316	77.07	94	22.93
19053	364	334	91.76	30	8.24
19054	328	235	71.65	93	28.35
19055	321	275	85.67	46	14.33
19056	388	344	88.66	44	11.34
19057	273	236	86.45	37	13.55
