Precinct	Votes	votes|Michelle A. Harris	pct|Michelle A. Harris	votes|Jewel Easterling-Smith	pct|Jewel Easterling-Smith	votes|Linda Hudson	pct|Linda Hudson	votes|Faheem Shabazz	pct|Faheem Shabazz
08001	215	138	64.19	5	2.33	43	20.00	29	13.49
08002	215	134	62.33	15	6.98	44	20.47	22	10.23
08003	346	241	69.65	56	16.18	38	10.98	11	3.18
08004	314	223	71.02	27	8.60	42	13.38	22	7.01
08005	308	150	48.70	87	28.25	45	14.61	26	8.44
08006	264	154	58.33	16	6.06	63	23.86	31	11.74
08007	313	196	62.62	31	9.90	32	10.22	54	17.25
08008	301	197	65.45	37	12.29	43	14.29	24	7.97
08009	167	93	55.69	18	10.78	35	20.96	21	12.57
08010	382	231	60.47	26	6.81	97	25.39	28	7.33
08011	225	150	66.67	14	6.22	30	13.33	31	13.78
08012	225	135	60.00	22	9.78	47	20.89	21	9.33
08013	266	159	59.77	22	8.27	29	10.90	56	21.05
08014	139	77	55.40	12	8.63	36	25.90	14	10.07
08015	218	145	66.51	20	9.17	34	15.60	19	8.72
08016	66	49	74.24	2	3.03	7	10.61	8	12.12
08017	244	179	73.36	13	5.33	33	13.52	19	7.79
08018	186	111	59.68	8	4.30	41	22.04	26	13.98
08019	327	205	62.69	39	11.93	46	14.07	37	11.31
08020	332	221	66.57	24	7.23	43	12.95	44	13.25
08021	322	227	70.50	12	3.73	46	14.29	37	11.49
08022	246	155	63.01	24	9.76	35	14.23	32	13.01
08023	195	139	71.28	16	8.21	31	15.90	9	4.62
08024	173	105	60.69	13	7.51	13	7.51	42	24.28
08025	220	146	66.36	9	4.09	48	21.82	17	7.73
08026	215	150	69.77	11	5.12	35	16.28	19	8.84
08027	308	185	60.06	55	17.86	42	13.64	26	8.44
08028	264	154	58.33	19	7.20	45	17.05	46	17.42
08029	310	171	55.16	12	3.87	103	33.23	24	7.74
08030	257	180	70.04	8	3.11	53	20.62	16	6.23
08031	183	121	66.12	23	12.57	26	14.21	13	7.10
08032	191	160	83.77	2	1.05	19	9.95	10	5.24
08033	265	147	55.47	23	8.68	76	28.68	19	7.17
08034	254	175	68.90	14	5.51	31	12.20	34	13.39
08035	306	161	52.61	35	11.44	97	31.70	13	4.25
08036	276	187	67.75	11	3.99	32	11.59	46	16.67
08037	229	110	48.03	16	6.99	92	40.17	11	4.80
08038	159	91	57.23	21	13.21	30	18.87	17	10.69
08039	250	194	77.60	16	6.40	23	9.20	17	6.80
08040	199	122	61.31	19	9.55	37	18.59	21	10.55
08041	272	178	65.44	13	4.78	57	20.96	24	8.82
08042	316	215	68.04	24	7.59	34	10.76	43	13.61
08043	141	99	70.21	8	5.67	19	13.48	15	10.64
08044	169	120	71.01	6	3.55	34	20.12	9	5.33
08045	173	89	51.45	19	10.98	43	24.86	22	12.72
08046	203	136	67.00	8	3.94	11	5.42	48	23.65
08047	205	154	75.12	14	6.83	29	14.15	8	3.90
08048	203	119	58.62	12	5.91	51	25.12	21	10.34
08049	232	145	62.50	12	5.17	39	16.81	36	15.52
08050	292	216	73.97	19	6.51	35	11.99	22	7.53
08051	290	185	63.79	35	12.07	48	16.55	22	7.59
08052	345	222	64.35	19	5.51	87	25.22	17	4.93
08053	140	84	60.00	6	4.29	15	10.71	35	25.00
08054	189	116	61.38	8	4.23	40	21.16	25	13.23
08055	231	183	79.22	11	4.76	29	12.55	8	3.46
08056	279	194	69.53	24	8.60	43	15.41	18	6.45
