Precinct	Votes	votes|Ariel E. Reboyras	pct|Ariel E. Reboyras	votes|Jessica W. Gutierrez	pct|Jessica W. Gutierrez
30001	264	127	48.11	137	51.89
30002	295	164	55.59	131	44.41
30003	236	116	49.15	120	50.85
30004	259	133	51.35	126	48.65
30005	169	92	54.44	77	45.56
30006	249	152	61.04	97	38.96
30007	301	158	52.49	143	47.51
30008	340	185	54.41	155	45.59
30009	234	166	70.94	68	29.06
30010	304	190	62.50	114	37.50
30011	215	94	43.72	121	56.28
30012	232	138	59.48	94	40.52
30013	257	152	59.14	105	40.86
30014	166	81	48.80	85	51.20
30015	322	205	63.66	117	36.34
30016	153	85	55.56	68	44.44
30017	278	143	51.44	135	48.56
30018	285	108	37.89	177	62.11
30019	230	109	47.39	121	52.61
30020	291	148	50.86	143	49.14
30021	234	135	57.69	99	42.31
30022	317	142	44.79	175	55.21
30023	243	118	48.56	125	51.44
30024	336	137	40.77	199	59.23
30025	325	127	39.08	198	60.92
30026	195	98	50.26	97	49.74
30027	199	118	59.30	81	40.70
30028	285	131	45.96	154	54.04
30029	135	59	43.70	76	56.30
30030	107	42	39.25	65	60.75
30031	217	120	55.30	97	44.70
30032	219	124	56.62	95	43.38
